Model;Approach;Repetition;Resets;stepsUntilLastReset;lastCandidatePrint
bluetooth_oneinit.pm(mrec=4);cautious1;61;1;525;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;62;1;685;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;63;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;64;7;3707;Resets: 7 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;65;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;66;6;3214;Resets: 6 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;67;2;922;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;68;7;3419;Resets: 7 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;69;14;6998;Resets: 14 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;70;15;8035;Resets: 15 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;71;2;1114;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;72;10;4770;Resets: 10 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;55;11;6063;Resets: 11 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;74;3;1383;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;75;7;3131;Resets: 7 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;76;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;77;1;429;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;78;2;954;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;79;6;3182;Resets: 6 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;80;1;461;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;81;6;3406;Resets: 6 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;82;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;83;2;1242;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;84;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;85;2;922;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;86;14;7126;Resets: 14 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;87;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;88;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;89;9;3989;Resets: 9 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;90;6;3374;Resets: 6 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;92;2;730;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;93;3;1575;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;94;9;4341;Resets: 9 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;95;11;5551;Resets: 11 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;96;19;9015;Resets: 19 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;97;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;73;4;1908;Resets: 4 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;98;0;0;init
bluetooth_oneinit.pm(mrec=4);cautious1;99;1;237;Resets: 1 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;0;17;23834;Resets: 17 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;1;6;8412;Resets: 6 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;2;20;28040;Resets: 20 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;3;1;1402;Resets: 1 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;4;12;16824;Resets: 12 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;5;6;8412;Resets: 6 visitNo: 1 candSize: 1

