Model;Approach;Repetition;Stats;lastCandPrint
crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;5;Resets 3 ;stepsInResetRuns 303;Resets: 3 visitNo: 10 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;2;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;10;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;2;Resets 9 ;stepsInResetRuns 11506;Resets: 9 visitNo: 1442 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;6;Resets 0 ;stepsInResetRuns 0;init
bluetooth_oneinit.pm(mrec=4);bold01;1;Resets 9 ;stepsInResetRuns 11858;Resets: 9 visitNo: 1442 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;3;Resets 4 ;stepsInResetRuns 3718;Resets: 4 visitNo: 804 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;0;Resets 5 ;stepsInResetRuns 4918;Resets: 5 visitNo: 932 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;8;Resets 6 ;stepsInResetRuns 6758;Resets: 6 visitNo: 1059 candSize: 1

nand.pm(N=50,K=3);bold01;0;Resets 12 ;stepsInResetRuns 21450;Resets: 12 visitNo: 708 candSize: 1

nand.pm(N=50,K=3);bold01;4;Resets 0 ;stepsInResetRuns 0;init
crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;11;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;19;Resets 5 ;stepsInResetRuns 5366;Resets: 5 visitNo: 932 candSize: 1

gridworld.pm(N=50,p=0.999);cautious10;19;Resets 2 ;stepsInResetRuns 504222;Resets: 2 visitNo: 10 candSize: 2499

nand.pm(N=50,K=3);bold01;1;Resets 0 ;stepsInResetRuns 0;init
nand.pm(N=50,K=3);bold01;6;Resets 3 ;stepsInResetRuns 4694;Resets: 3 visitNo: 263 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;18;Resets 1 ;stepsInResetRuns 626;Resets: 1 visitNo: 422 candSize: 1

nand.pm(N=50,K=3);bold01;18;Resets 1 ;stepsInResetRuns 1515;Resets: 1 visitNo: 164 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;6;Resets 2 ;stepsInResetRuns 203;Resets: 2 visitNo: 10 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;15;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;9;Resets 5 ;stepsInResetRuns 5750;Resets: 5 visitNo: 932 candSize: 1

herman17_oneinit.pm();bold01;2;TO;Resets: 0 visitNo: 6475039 candSize: 34

nand.pm(N=50,K=3);bold01;17;Resets 15 ;stepsInResetRuns 27926;Resets: 15 visitNo: 857 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;14;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);bold01;19;Resets 5 ;stepsInResetRuns 8071;Resets: 5 visitNo: 362 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;7;Resets 3 ;stepsInResetRuns 258;Resets: 3 visitNo: 10 candSize: 1

herman17_oneinit.pm();bold01;4;TO;Resets: 0 visitNo: 8053985 candSize: 34

herman17_oneinit.pm();bold01;16;TO;Resets: 0 visitNo: 7001354 candSize: 34

bluetooth_oneinit.pm(mrec=4);bold01;4;Resets 2 ;stepsInResetRuns 1988;Resets: 2 visitNo: 549 candSize: 1

nand.pm(N=50,K=3);bold01;16;Resets 2 ;stepsInResetRuns 3080;Resets: 2 visitNo: 213 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;13;Resets 10 ;stepsInResetRuns 13824;Resets: 10 visitNo: 1570 candSize: 1

nand.pm(N=50,K=3);bold01;7;Resets 7 ;stepsInResetRuns 11646;Resets: 7 visitNo: 461 candSize: 1

herman17_oneinit.pm();bold01;15;TO;Resets: 0 visitNo: 7527670 candSize: 34

bluetooth_oneinit.pm(mrec=4);bold01;12;Resets 2 ;stepsInResetRuns 1860;Resets: 2 visitNo: 549 candSize: 1

herman17_oneinit.pm();bold01;17;TO;Resets: 0 visitNo: 5422409 candSize: 34

bluetooth_oneinit.pm(mrec=4);bold01;5;Resets 9 ;stepsInResetRuns 11794;Resets: 9 visitNo: 1442 candSize: 1

herman17_oneinit.pm();bold01;14;TO;Resets: 0 visitNo: 7001354 candSize: 34

nand.pm(N=50,K=3);bold01;2;Resets 1 ;stepsInResetRuns 1515;Resets: 1 visitNo: 164 candSize: 1

herman17_oneinit.pm();bold01;5;TO;Resets: 0 visitNo: 10159246 candSize: 34

nand.pm(N=50,K=3);bold01;11;Resets 1 ;stepsInResetRuns 1515;Resets: 1 visitNo: 164 candSize: 1

nand.pm(N=50,K=3);bold01;10;Resets 3 ;stepsInResetRuns 4694;Resets: 3 visitNo: 263 candSize: 1

nand.pm(N=50,K=3);bold01;3;Resets 5 ;stepsInResetRuns 8071;Resets: 5 visitNo: 362 candSize: 1

herman17_oneinit.pm();bold01;0;TO;Resets: 0 visitNo: 8053985 candSize: 34

herman17_oneinit.pm();bold01;9;TO;Resets: 0 visitNo: 8053985 candSize: 34

herman17_oneinit.pm();bold01;8;TO;Resets: 0 visitNo: 7527670 candSize: 34

herman17_oneinit.pm();bold01;1;TO;Resets: 0 visitNo: 6475039 candSize: 34

gridworld.pm(N=50,p=0.999);cautious10;18;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;17;Resets 2 ;stepsInResetRuns 233;Resets: 2 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;15;Resets 0 ;stepsInResetRuns 0;init
nand.pm(N=50,K=3);bold01;13;Resets 6 ;stepsInResetRuns 9834;Resets: 6 visitNo: 411 candSize: 1

herman17_oneinit.pm();bold01;11;TO;Resets: 0 visitNo: 10685561 candSize: 34

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;16;Resets 1 ;stepsInResetRuns 69;Resets: 1 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;14;Resets 0 ;stepsInResetRuns 0;init
nand.pm(N=50,K=3);bold01;12;Resets 1 ;stepsInResetRuns 1515;Resets: 1 visitNo: 164 candSize: 1

herman17_oneinit.pm();bold01;10;TO;Resets: 0 visitNo: 9106616 candSize: 34

scale.pm(N=10,M=50);bold01;1;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 70 candSize: 50

scale.pm(N=10,M=50);bold01;19;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 75 candSize: 50

gridworld.pm(N=50,p=0.999);bold01;17;TO;Resets: 0 visitNo: 1660472 candSize: 2499

scale.pm(N=10,M=50);cautious10;16;Resets 1 ;stepsInResetRuns 4734;Resets: 1 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;4;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;5;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;17;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 50

gridworld.pm(N=50,p=0.999);cautious10;14;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;2;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;3;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;15;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;1;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;0;Resets 1 ;stepsInResetRuns 80;Resets: 1 visitNo: 10 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;19;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;18;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;17;Resets 1 ;stepsInResetRuns 1106;Resets: 1 visitNo: 422 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;12;Resets 3 ;stepsInResetRuns 248;Resets: 3 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;16;Resets 8 ;stepsInResetRuns 9636;Resets: 8 visitNo: 1314 candSize: 1

nand.pm(N=50,K=3);bold01;15;Resets 0 ;stepsInResetRuns 0;init
bluetooth_oneinit.pm(mrec=4);bold01;10;Resets 8 ;stepsInResetRuns 9892;Resets: 8 visitNo: 1314 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;13;Resets 0 ;stepsInResetRuns 0;init
herman17_oneinit.pm();bold01;13;TO;Resets: 0 visitNo: 6475039 candSize: 34

nand.pm(N=50,K=3);bold01;14;Resets 1 ;stepsInResetRuns 1515;Resets: 1 visitNo: 164 candSize: 1

scale.pm(N=10,M=50);bold01;0;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 73 candSize: 50

nand.pm(N=50,K=3);bold01;8;Resets 3 ;stepsInResetRuns 4694;Resets: 3 visitNo: 263 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;11;Resets 0 ;stepsInResetRuns 0;init
scale.pm(N=10,M=50);bold01;2;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 75 candSize: 50

scale.pm(N=10,M=50);bold01;14;Resets 3 ;stepsInResetRuns 21646;Resets: 3 visitNo: 235 candSize: 50

herman17_oneinit.pm();bold01;12;TO;Resets: 0 visitNo: 7001354 candSize: 34

scale.pm(N=10,M=50);bold01;18;Resets 1 ;stepsInResetRuns 5;Resets: 1 visitNo: 73 candSize: 50

scale.pm(N=10,M=50);bold01;13;Resets 2 ;stepsInResetRuns 12664;Resets: 2 visitNo: 161 candSize: 50

scale.pm(N=10,M=50);bold01;15;Resets 1 ;stepsInResetRuns 19;Resets: 1 visitNo: 77 candSize: 50

herman17_oneinit.pm();bold01;6;TO;Resets: 0 visitNo: 7001354 candSize: 34

gridworld.pm(N=50,p=0.999);bold01;0;TO;Resets: 0 visitNo: 1641482 candSize: 2499

nand.pm(N=50,K=3);bold01;9;Resets 6 ;stepsInResetRuns 9834;Resets: 6 visitNo: 411 candSize: 1

gridworld.pm(N=50,p=0.999);bold01;12;TO;Resets: 0 visitNo: 1681462 candSize: 2499

scale.pm(N=10,M=50);bold01;12;Resets 3 ;stepsInResetRuns 17634;Resets: 3 visitNo: 165 candSize: 50

scale.pm(N=10,M=50);bold01;3;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 79 candSize: 50

gridworld.pm(N=50,p=0.999);bold01;16;TO;Resets: 0 visitNo: 1655475 candSize: 2499

gridworld.pm(N=50,p=0.999);bold01;11;TO;Resets: 0 visitNo: 1930337 candSize: 2499

gridworld.pm(N=50,p=0.999);bold01;13;TO;Resets: 0 visitNo: 1672466 candSize: 2499

herman17_oneinit.pm();bold01;7;TO;Resets: 0 visitNo: 5948724 candSize: 34

herman17_oneinit.pm();bold01;18;TO;Resets: 0 visitNo: 5948724 candSize: 34

gridworld.pm(N=50,p=0.999);bold01;1;TO;Resets: 0 visitNo: 1544530 candSize: 2499

gridworld.pm(N=50,p=0.999);bold01;10;TO;Resets: 0 visitNo: 1666469 candSize: 2499

scale.pm(N=10,M=50);bold01;7;Resets 3 ;stepsInResetRuns 18588;Resets: 3 visitNo: 222 candSize: 50

scale.pm(N=10,M=50);bold01;6;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 76 candSize: 50

herman17_oneinit.pm();bold01;19;TO;Resets: 0 visitNo: 7527670 candSize: 34

gridworld.pm(N=50,p=0.999);bold01;4;TO;Resets: 0 visitNo: 1682461 candSize: 2499

gridworld.pm(N=50,p=0.999);bold01;5;TO;Resets: 0 visitNo: 1664470 candSize: 2499

scale.pm(N=10,M=50);bold01;9;Resets 3 ;stepsInResetRuns 41940;Resets: 3 visitNo: 272 candSize: 50

gridworld.pm(N=50,p=0.999);bold01;7;TO;Resets: 0 visitNo: 1522541 candSize: 2499

scale.pm(N=10,M=50);bold01;8;Resets 1 ;stepsInResetRuns 11222;Resets: 1 visitNo: 163 candSize: 50

gridworld.pm(N=50,p=0.999);bold01;6;TO;Resets: 0 visitNo: 1606499 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;15;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 63 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;13;Resets 20 ;stepsInResetRuns 36619;Resets: 20 visitNo: 2640 candSize: 1

nand.pm(N=50,K=3);bold05;11;Resets 15 ;stepsInResetRuns 26734;Resets: 15 visitNo: 777 candSize: 1

herman17_oneinit.pm();bold05;9;TO;Resets: 0 visitNo: 7206913 candSize: 34

scale.pm(N=10,M=50);bold01;11;Resets 1 ;stepsInResetRuns 9401;Resets: 1 visitNo: 145 candSize: 50

gridworld.pm(N=50,p=0.999);bold01;9;TO;Resets: 0 visitNo: 1562521 candSize: 2499

scale.pm(N=10,M=50);bold01;10;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 77 candSize: 50

scale.pm(N=10,M=50);bold01;4;Resets 1 ;stepsInResetRuns 8423;Resets: 1 visitNo: 152 candSize: 50

gridworld.pm(N=50,p=0.999);bold01;18;TO;Resets: 0 visitNo: 1687459 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;10;Resets 2 ;stepsInResetRuns 412;Resets: 2 visitNo: 208 candSize: 1

gridworld.pm(N=50,p=0.999);bold01;8;TO;Resets: 0 visitNo: 1809398 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;14;Resets 2 ;stepsInResetRuns 383;Resets: 2 visitNo: 266 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;9;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 77 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;11;Resets 1 ;stepsInResetRuns 120;Resets: 1 visitNo: 77 candSize: 1

gridworld.pm(N=50,p=0.999);bold01;2;TO;Resets: 0 visitNo: 1564520 candSize: 2499

scale.pm(N=10,M=50);bold01;5;Resets 1 ;stepsInResetRuns 7205;Resets: 1 visitNo: 157 candSize: 50

bluetooth_oneinit.pm(mrec=4);bold05;8;Resets 0 ;stepsInResetRuns 0;init
scale.pm(N=10,M=50);bold01;16;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 72 candSize: 50

gridworld.pm(N=50,p=0.999);bold01;19;TO;Resets: 0 visitNo: 1616494 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;8;Resets 2 ;stepsInResetRuns 531;Resets: 2 visitNo: 252 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;12;Resets 4 ;stepsInResetRuns 3025;Resets: 4 visitNo: 599 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;9;Resets 8 ;stepsInResetRuns 8187;Resets: 8 visitNo: 1109 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;7;Resets 1 ;stepsInResetRuns 709;Resets: 1 visitNo: 216 candSize: 1

scale.pm(N=10,M=50);bold01;17;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 77 candSize: 50

gridworld.pm(N=50,p=0.999);bold01;3;TO;Resets: 0 visitNo: 1579513 candSize: 2499

gridworld.pm(N=50,p=0.999);bold01;14;TO;Resets: 0 visitNo: 1585510 candSize: 2499

nand.pm(N=50,K=3);bold05;6;Resets 14 ;stepsInResetRuns 24605;Resets: 14 visitNo: 728 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;6;Resets 5 ;stepsInResetRuns 4340;Resets: 5 visitNo: 727 candSize: 1

nand.pm(N=50,K=3);bold05;10;Resets 7 ;stepsInResetRuns 11090;Resets: 7 visitNo: 381 candSize: 1

nand.pm(N=50,K=3);bold05;7;Resets 17 ;stepsInResetRuns 31140;Resets: 17 visitNo: 876 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;2;Resets 2 ;stepsInResetRuns 213;Resets: 2 visitNo: 106 candSize: 1

nand.pm(N=50,K=3);bold05;5;Resets 18 ;stepsInResetRuns 33417;Resets: 18 visitNo: 926 candSize: 1

gridworld.pm(N=50,p=0.999);bold01;15;TO;Resets: 0 visitNo: 1627489 candSize: 2499

herman17_oneinit.pm();bold05;4;TO;Resets: 0 visitNo: 7733229 candSize: 34

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;3;Resets 1 ;stepsInResetRuns 198;Resets: 1 visitNo: 150 candSize: 1

herman17_oneinit.pm();bold05;8;TO;Resets: 0 visitNo: 6680598 candSize: 34

nand.pm(N=50,K=3);bold05;4;Resets 7 ;stepsInResetRuns 11090;Resets: 7 visitNo: 381 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;0;Resets 8 ;stepsInResetRuns 8411;Resets: 8 visitNo: 1109 candSize: 1

herman17_oneinit.pm();bold05;5;TO;Resets: 0 visitNo: 7206913 candSize: 34

herman17_oneinit.pm();bold05;3;TO;Resets: 0 visitNo: 5101652 candSize: 34

herman17_oneinit.pm();bold05;2;TO;Resets: 0 visitNo: 4575337 candSize: 34

bluetooth_oneinit.pm(mrec=4);bold05;1;Resets 1 ;stepsInResetRuns 677;Resets: 1 visitNo: 216 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;18;Resets 2 ;stepsInResetRuns 1289;Resets: 2 visitNo: 344 candSize: 1

nand.pm(N=50,K=3);bold05;16;Resets 6 ;stepsInResetRuns 9357;Resets: 6 visitNo: 332 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;19;Resets 2 ;stepsInResetRuns 1417;Resets: 2 visitNo: 344 candSize: 1

herman17_oneinit.pm();bold05;14;TO;Resets: 0 visitNo: 8259544 candSize: 34

nand.pm(N=50,K=3);bold05;17;Resets 9 ;stepsInResetRuns 14704;Resets: 9 visitNo: 480 candSize: 1

herman17_oneinit.pm();bold05;15;TO;Resets: 0 visitNo: 6154283 candSize: 34

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;5;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 92 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;3;Resets 16 ;stepsInResetRuns 24247;Resets: 16 visitNo: 2130 candSize: 1

nand.pm(N=50,K=3);bold05;1;Resets 13 ;stepsInResetRuns 22526;Resets: 13 visitNo: 678 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;4;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 63 candSize: 1

nand.pm(N=50,K=3);bold05;19;Resets 7 ;stepsInResetRuns 11090;Resets: 7 visitNo: 381 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;2;Resets 10 ;stepsInResetRuns 11293;Resets: 10 visitNo: 1364 candSize: 1

herman17_oneinit.pm();bold05;17;TO;Resets: 0 visitNo: 3522706 candSize: 34

nand.pm(N=50,K=3);bold05;0;Resets 9 ;stepsInResetRuns 14704;Resets: 9 visitNo: 480 candSize: 1

nand.pm(N=50,K=3);bold05;18;Resets 1 ;stepsInResetRuns 1436;Resets: 1 visitNo: 84 candSize: 1

herman17_oneinit.pm();bold05;16;TO;Resets: 0 visitNo: 7733229 candSize: 34

scale.pm(N=10,M=50);bold05;7;Resets 1 ;stepsInResetRuns 2;Resets: 1 visitNo: 84 candSize: 50

gridworld.pm(N=50,p=0.999);bold05;5;TO;Resets: 0 visitNo: 1817784 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;7;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 92 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;16;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 150 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;6;Resets 1 ;stepsInResetRuns 190;Resets: 1 visitNo: 164 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;5;Resets 0 ;stepsInResetRuns 0;init
crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;0;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 77 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;14;Resets 1 ;stepsInResetRuns 421;Resets: 1 visitNo: 216 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;17;Resets 3 ;stepsInResetRuns 619;Resets: 3 visitNo: 295 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;4;Resets 9 ;stepsInResetRuns 10044;Resets: 9 visitNo: 1237 candSize: 1

nand.pm(N=50,K=3);bold05;3;Resets 4 ;stepsInResetRuns 6040;Resets: 4 visitNo: 233 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;18;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 77 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;1;Resets 2 ;stepsInResetRuns 231;Resets: 2 visitNo: 135 candSize: 1

nand.pm(N=50,K=3);bold05;12;Resets 0 ;stepsInResetRuns 0;init
crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;12;Resets 7 ;stepsInResetRuns 2069;Resets: 7 visitNo: 426 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;15;Resets 1 ;stepsInResetRuns 581;Resets: 1 visitNo: 216 candSize: 1

nand.pm(N=50,K=3);bold05;2;Resets 5 ;stepsInResetRuns 7674;Resets: 5 visitNo: 282 candSize: 1

herman17_oneinit.pm();bold05;1;TO;Resets: 0 visitNo: 8259544 candSize: 34

bluetooth_oneinit.pm(mrec=4);bold05;16;Resets 1 ;stepsInResetRuns 645;Resets: 1 visitNo: 216 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;13;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 63 candSize: 1

herman17_oneinit.pm();bold05;10;TO;Resets: 0 visitNo: 6680598 candSize: 34

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold01;19;Resets 1 ;stepsInResetRuns 183;Resets: 1 visitNo: 179 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;10;Resets 12 ;stepsInResetRuns 15389;Resets: 12 visitNo: 1619 candSize: 1

scale.pm(N=10,M=50);bold05;2;Resets 3 ;stepsInResetRuns 13;Resets: 3 visitNo: 82 candSize: 50

nand.pm(N=50,K=3);bold05;13;Resets 5 ;stepsInResetRuns 7674;Resets: 5 visitNo: 282 candSize: 1

scale.pm(N=10,M=50);bold05;6;Resets 2 ;stepsInResetRuns 5542;Resets: 2 visitNo: 149 candSize: 50

herman17_oneinit.pm();bold05;0;TO;Resets: 0 visitNo: 8259544 candSize: 34

scale.pm(N=10,M=50);bold05;3;Resets 2 ;stepsInResetRuns 18;Resets: 2 visitNo: 79 candSize: 50

nand.pm(N=50,K=3);bold05;14;Resets 5 ;stepsInResetRuns 7674;Resets: 5 visitNo: 282 candSize: 1

scale.pm(N=10,M=50);bold05;1;Resets 2 ;stepsInResetRuns 15;Resets: 2 visitNo: 84 candSize: 50

bluetooth_oneinit.pm(mrec=4);bold05;11;Resets 2 ;stepsInResetRuns 1193;Resets: 2 visitNo: 344 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold05;17;Resets 8 ;stepsInResetRuns 8315;Resets: 8 visitNo: 1109 candSize: 1

nand.pm(N=50,K=3);bold05;8;Resets 14 ;stepsInResetRuns 24605;Resets: 14 visitNo: 728 candSize: 1

gridworld.pm(N=50,p=0.999);bold05;0;TO;Resets: 0 visitNo: 1707839 candSize: 2499

herman17_oneinit.pm();bold05;11;TO;Resets: 0 visitNo: 4575337 candSize: 34

gridworld.pm(N=50,p=0.999);bold05;4;TO;Resets: 0 visitNo: 1730828 candSize: 2499

scale.pm(N=10,M=50);bold05;0;Resets 1 ;stepsInResetRuns 2;Resets: 1 visitNo: 74 candSize: 50

gridworld.pm(N=50,p=0.999);bold05;1;TO;Resets: 0 visitNo: 1691847 candSize: 2499

herman17_oneinit.pm();bold05;12;TO;Resets: 0 visitNo: 7206913 candSize: 34

scale.pm(N=10,M=50);bold05;19;Resets 3 ;stepsInResetRuns 14;Resets: 3 visitNo: 77 candSize: 50

nand.pm(N=50,K=3);bold05;9;Resets 9 ;stepsInResetRuns 14704;Resets: 9 visitNo: 480 candSize: 1

herman17_oneinit.pm();bold05;6;TO;Resets: 0 visitNo: 4575337 candSize: 34

nand.pm(N=50,K=3);bold05;15;Resets 7 ;stepsInResetRuns 11090;Resets: 7 visitNo: 381 candSize: 1

scale.pm(N=10,M=50);bold05;18;Resets 3 ;stepsInResetRuns 11488;Resets: 3 visitNo: 159 candSize: 50

gridworld.pm(N=50,p=0.999);bold05;17;TO;Resets: 0 visitNo: 1998694 candSize: 2499

herman17_oneinit.pm();bold05;7;TO;Resets: 0 visitNo: 5101652 candSize: 34

herman17_oneinit.pm();bold05;13;TO;Resets: 0 visitNo: 6154283 candSize: 34

gridworld.pm(N=50,p=0.999);bold05;16;TO;Resets: 0 visitNo: 1807789 candSize: 2499

scale.pm(N=10,M=50);bold05;12;Resets 2 ;stepsInResetRuns 16;Resets: 2 visitNo: 85 candSize: 50

gridworld.pm(N=50,p=0.999);bold05;10;TO;Resets: 0 visitNo: 1706840 candSize: 2499

scale.pm(N=10,M=50);bold05;13;Resets 1 ;stepsInResetRuns 2;Resets: 1 visitNo: 79 candSize: 50

gridworld.pm(N=50,p=0.999);bold05;11;TO;Resets: 0 visitNo: 1579903 candSize: 2499

scale.pm(N=10,M=50);bold05;15;Resets 1 ;stepsInResetRuns 3;Resets: 1 visitNo: 69 candSize: 50

gridworld.pm(N=50,p=0.999);bold05;13;TO;Resets: 0 visitNo: 1824781 candSize: 2499

scale.pm(N=10,M=50);bold05;14;Resets 5 ;stepsInResetRuns 72505;Resets: 5 visitNo: 374 candSize: 50

gridworld.pm(N=50,p=0.999);bold05;12;TO;Resets: 0 visitNo: 1616885 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;3;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 54 candSize: 1

herman17_oneinit.pm();bold05;19;TO;Resets: 0 visitNo: 6154283 candSize: 34

