logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-bold05-18.log,bluetooth_oneinit.pm,mrec=4,,0.5,Resets 4 ;stepsInResetRuns 2548
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-bold05-19.log,bluetooth_oneinit.pm,mrec=4,,0.5,Resets 2 ;stepsInResetRuns 1034
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-bold05-2.log,bluetooth_oneinit.pm,mrec=4,,0.5,Resets 7 ;stepsInResetRuns 3971
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-bold05-3.log,bluetooth_oneinit.pm,mrec=4,,0.5,Resets 8 ;stepsInResetRuns 4488
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-bold05-4.log,bluetooth_oneinit.pm,mrec=4,,0.5,Resets 7 ;stepsInResetRuns 3811
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-bold05-5.log,bluetooth_oneinit.pm,mrec=4,,0.5,Resets 1 ;stepsInResetRuns 677
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-bold05-6.log,bluetooth_oneinit.pm,mrec=4,,0.5,Resets 5 ;stepsInResetRuns 2841
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-bold05-7.log,bluetooth_oneinit.pm,mrec=4,,0.5,Resets 16 ;stepsInResetRuns 9712
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-bold05-8.log,bluetooth_oneinit.pm,mrec=4,,0.5,Resets 10 ;stepsInResetRuns 5650
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-bold05-9.log,bluetooth_oneinit.pm,mrec=4,,0.5,Resets 0 ;stepsInResetRuns 0
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-0.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 12 ;stepsInResetRuns 5948
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-1.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 2 ;stepsInResetRuns 730
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-10.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 4 ;stepsInResetRuns 1588
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-11.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 4 ;stepsInResetRuns 1876
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-12.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 0 ;stepsInResetRuns 0
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-13.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 2 ;stepsInResetRuns 858
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-14.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 5 ;stepsInResetRuns 2049
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-15.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 2 ;stepsInResetRuns 634
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-16.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 4 ;stepsInResetRuns 1524
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-17.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 1 ;stepsInResetRuns 365
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-18.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 8 ;stepsInResetRuns 3848
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-19.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 1 ;stepsInResetRuns 653
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-2.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 11 ;stepsInResetRuns 5583
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-3.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 2 ;stepsInResetRuns 794
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-4.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 4 ;stepsInResetRuns 1908
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-5.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 8 ;stepsInResetRuns 3464
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-6.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 4 ;stepsInResetRuns 2036
